#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	DNA_B03_15.metaphlan_profile	DNA_B02_24.metaphlan_profile	DNA_B01_01.metaphlan_profile	DNA_B01_03.metaphlan_profile	DNA_B04_32_R1.metaphlan_profile	DNA_B01_02.metaphlan_profile	DNA_B04_41_R1.metaphlan_profile	DNA_B02_02.metaphlan_profile	DNA_B02_23.metaphlan_profile	DNA_B01_04.metaphlan_profile	DNA_B03_19.metaphlan_profile	DNA_B01_27.metaphlan_profile	DNA_B01_21.metaphlan_profile	DNA_B02_15.metaphlan_profile
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium	2|201174|84998|84999|1643824|1380	0	0	0	0	0.568373383726866	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_parvulum	2|201174|84998|84999|1643824|1380|1382	0	0	0	0	0.568373383726866	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_denticola	2|976|200643|171549|171552|838|28129	0	0	0	0	0.7883412440769916	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0	0	0	5.378823249543754	0.9925670539201458	0	1.5612422632157423	0	0	50.01561731115258	0	0	0	18.91625514097661
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified	2|1239|91061|1385|	0	0	0	4.82792934516655	0.3082980342918914	0	1.5612422632157423	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella	2|1239|91061|1385||1378	0	0	0	4.82792934516655	0.3082980342918914	0	1.5612422632157423	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_haemolysans	2|1239|91061|1385||1378|1379	0	0	0	4.400295712805757	0.3082980342918914	0	0.9794824087699622	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_sanguinis	2|1239|91061|1385||1378|84135	0	0	0	0.4276336323607922	0	0	0.5817598544457802	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	2|1239|91061|1385|90964	0	0	0	0.5508939043772038	0.6842690196282543	0	0	0	0	50.01561731115258	0	0	0	18.91625514097661
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus	2|1239|91061|1385|90964|1279	0	0	0	0.5508939043772038	0.6842690196282543	0	0	0	0	50.01561731115258	0	0	0	18.91625514097661
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_aureus	2|1239|91061|1385|90964|1279|1280	0	0	0	0.5508939043772038	0.6842690196282543	0	0	0	0	50.01561731115258	0	0	0	18.91625514097661
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae	2|1239|91061|186826|186827	0	0	0	0	0	0	0.0257204473290168	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Abiotrophia	2|1239|91061|186826|186827|46123	0	0	0	0	0	0	0.0257204473290168	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Abiotrophia|s__Abiotrophia_sp_HMSC24B09	2|1239|91061|186826|186827|46123|1581061	0	0	0	0	0	0	0.0257204473290168	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_rhamnosus	2|1239|91061|186826|33958|1578|47715	0	0	0	0	0	0	0	0	0	0	0	0	42.160447819198296	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_australis	2|1239|91061|186826|1300|1301|113107	0	0	0	0	0	0	0.6659984858274673	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_gordonii	2|1239|91061|186826|1300|1301|1302	0	0	0	0.1292566800799674	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_infantis	2|1239|91061|186826|1300|1301|68892	0	0	0	0.0201109230994664	0.7328768189616344	0	1.1022683801119189	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_milleri	2|1239|91061|186826|1300|1301|33040	0	0	0	0.0718038561856425	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis	2|1239|91061|186826|1300|1301|28037	0	0	0	3.8004914312883433	2.171791551102525	0	6.144520428974571	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_oralis	2|1239|91061|186826|1300|1301|1303	0	0	0	6.391134493660705	0	0	0.1884925482334495	0	0	2.2499503498412343	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis	2|1239|91061|186826|1300|1301|1318	0	0	0	5.569619632563683	8.92025971897865	0	3.9086858285235886	0	0	0	0	0	0	0
